iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
39,"(15, 4)","(15, 3)",North,"[(15, 5), (15, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 4)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 5)]",40,27,0,27
40,"(15, 5)","(15, 4)",North,"[(15, 4), (16, 5)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 5)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (16, 5)]",41,28,0,28
41,"(16, 5)","(15, 5)",East,"[(17, 5), (15, 5)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (16, 5)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 5)]",42,29,0,29
42,"(17, 5)","(16, 5)",East,"[(17, 6), (18, 5), (16, 5)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 5)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 6), (18, 5)]",43,30,0,30
43,"(18, 5)","(17, 5)",East,"[(19, 5), (17, 5)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 6), (18, 5)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 6), (19, 5)]",44,31,0,31
44,"(19, 5)","(18, 5)",East,"[(18, 5)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 6), (19, 5)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 6)]",45,32,0,32
45,"(17, 6)","(17, 5)",North,"[(17, 7), (17, 5)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 6)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 7)]",46,31,0,31
46,"(17, 7)","(17, 6)",North,"[(17, 6), (16, 7)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 7)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (16, 7)]",47,32,0,32
47,"(16, 7)","(17, 7)",West,"[(17, 7), (15, 7)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (16, 7)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 7)]",48,33,0,33
48,"(15, 7)","(16, 7)",West,"[(15, 8), (16, 7), (14, 7)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 7)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 8), (14, 7)]",49,34,0,34
