iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
63,"(5, 2)","(5, 3)",South,"[(5, 3), (5, 1)]","[(7, 3), (9, 5), (1, 6), (1, 8), (2, 5), (5, 2)]","[(5, 1), (7, 3), (9, 5), (1, 6), (1, 8), (2, 5)]",64,19,0,19
64,"(2, 5)","(3, 5)",West,"[(3, 5), (1, 5)]","[(5, 1), (7, 3), (9, 5), (1, 6), (1, 8), (2, 5)]","[(1, 5), (5, 1), (7, 3), (9, 5), (1, 6), (1, 8)]",65,19,0,19
65,"(1, 8)","(1, 7)",North,"[(1, 9), (1, 7)]","[(1, 5), (5, 1), (7, 3), (9, 5), (1, 6), (1, 8)]","[(1, 9), (1, 5), (5, 1), (7, 3), (9, 5), (1, 6)]",66,19,0,19
66,"(1, 6)","(1, 7)",South,"[(1, 7), (1, 5)]","[(1, 9), (1, 5), (5, 1), (7, 3), (9, 5), (1, 6)]","[(1, 5), (1, 9), (1, 5), (5, 1), (7, 3), (9, 5)]",67,19,0,19
67,"(9, 5)","(9, 4)",North,"[(9, 4), (10, 5), (8, 5)]","[(1, 5), (1, 9), (1, 5), (5, 1), (7, 3), (9, 5)]","[(8, 5), (10, 5), (1, 5), (1, 9), (1, 5), (5, 1), (7, 3)]",68,20,0,20
68,"(7, 3)","(8, 3)",West,"[(7, 4), (7, 2), (8, 3)]","[(8, 5), (10, 5), (1, 5), (1, 9), (1, 5), (5, 1), (7, 3)]","[(7, 2), (7, 4), (8, 5), (10, 5), (1, 5), (1, 9), (1, 5), (5, 1)]",69,20,0,20
69,"(5, 1)","(5, 2)",South,"[(5, 2), (6, 1)]","[(7, 2), (7, 4), (8, 5), (10, 5), (1, 5), (1, 9), (1, 5), (5, 1)]","[(6, 1), (7, 2), (7, 4), (8, 5), (10, 5), (1, 5), (1, 9), (1, 5)]",70,20,0,20
70,"(1, 5)","(2, 5)",West,"[(1, 6), (1, 4), (2, 5)]","[(6, 1), (7, 2), (7, 4), (8, 5), (10, 5), (1, 5), (1, 9), (1, 5)]","[(1, 4), (6, 1), (7, 2), (7, 4), (8, 5), (10, 5), (1, 5), (1, 9)]",71,20,0,20
71,"(1, 9)","(1, 8)",North,"[(1, 8)]","[(1, 4), (6, 1), (7, 2), (7, 4), (8, 5), (10, 5), (1, 5), (1, 9)]","[(1, 4), (6, 1), (7, 2), (7, 4), (8, 5), (10, 5), (1, 5)]",72,20,0,20
72,"(10, 5)","(9, 5)",East,"[(11, 5), (9, 5)]","[(1, 4), (6, 1), (7, 2), (7, 4), (8, 5), (10, 5)]","[(11, 5), (1, 4), (6, 1), (7, 2), (7, 4), (8, 5)]",73,21,0,21
