iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
24,"(23, 3)","(24, 3)",West,"[(23, 2), (24, 3), (22, 3)]","[(23, 3), (27, 4), (28, 1), (35, 4), (33, 4), (31, 6), (25, 4)]","[(23, 2), (22, 3), (28, 1), (27, 4), (33, 4), (31, 6), (25, 4), (35, 4)]","[(31, 5), (34, 1), (27, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (31, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 1), (25, 3), (35, 1), (29, 3), (31, 3), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2)]",18,24,42
25,"(23, 2)","(23, 3)",South,"[(23, 3), (23, 1)]","[(23, 2), (22, 3), (28, 1), (27, 4), (33, 4), (31, 6), (25, 4), (35, 4)]","[(23, 1), (22, 3), (28, 1), (27, 4), (33, 4), (31, 6), (25, 4), (35, 4)]","[(31, 5), (34, 1), (27, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (31, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 1), (25, 3), (35, 1), (29, 3), (31, 3), (23, 2), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2)]",19,23,42
26,"(23, 1)","(23, 2)",South,"[(23, 2), (24, 1), (22, 1)]","[(23, 1), (22, 3), (28, 1), (27, 4), (33, 4), (31, 6), (25, 4), (35, 4)]","[(22, 1), (22, 3), (28, 1), (24, 1), (33, 4), (31, 6), (25, 4), (35, 4), (27, 4)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (31, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 1), (25, 3), (35, 1), (29, 3), (31, 3), (23, 2), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2)]",20,22,42
27,"(22, 1)","(23, 1)",West,"[(23, 1), (21, 1)]","[(22, 1), (22, 3), (28, 1), (24, 1), (33, 4), (31, 6), (25, 4), (35, 4), (27, 4)]","[(21, 1), (22, 3), (28, 1), (24, 1), (33, 4), (31, 6), (25, 4), (35, 4), (27, 4)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (22, 1), (31, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 1), (25, 3), (35, 1), (29, 3), (31, 3), (23, 2), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2)]",21,21,42
28,"(21, 1)","(22, 1)",West,"[(22, 1), (20, 1)]","[(21, 1), (22, 3), (28, 1), (24, 1), (33, 4), (31, 6), (25, 4), (35, 4), (27, 4)]","[(20, 1), (22, 3), (28, 1), (24, 1), (33, 4), (31, 6), (25, 4), (35, 4), (27, 4)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (22, 1), (31, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 1), (25, 3), (35, 1), (29, 3), (31, 3), (23, 2), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2), (21, 1)]",22,20,42
29,"(20, 1)","(21, 1)",West,"[(21, 1), (19, 1)]","[(20, 1), (22, 3), (28, 1), (24, 1), (33, 4), (31, 6), (25, 4), (35, 4), (27, 4)]","[(19, 1), (22, 3), (28, 1), (24, 1), (33, 4), (31, 6), (25, 4), (35, 4), (27, 4)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (22, 1), (31, 1), (20, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 1), (25, 3), (35, 1), (29, 3), (31, 3), (23, 2), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2), (21, 1)]",23,19,42
30,"(19, 1)","(20, 1)",West,"[(20, 1)]","[(19, 1), (22, 3), (28, 1), (24, 1), (33, 4), (31, 6), (25, 4), (35, 4), (27, 4)]","[(22, 3), (24, 1), (28, 1), (27, 4), (33, 4), (31, 6), (25, 4), (35, 4)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (22, 1), (31, 1), (20, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 1), (25, 3), (35, 1), (29, 3), (31, 3), (23, 2), (27, 2), (19, 1), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2), (21, 1)]",24,18,42
31,"(22, 3)","(23, 3)",West,"[(23, 3), (21, 3)]","[(22, 3), (24, 1), (28, 1), (27, 4), (33, 4), (31, 6), (25, 4), (35, 4)]","[(21, 3), (24, 1), (28, 1), (27, 4), (33, 4), (31, 6), (25, 4), (35, 4)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (22, 1), (31, 1), (20, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 1), (25, 3), (35, 1), (29, 3), (31, 3), (23, 2), (22, 3), (27, 2), (19, 1), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2), (21, 1)]",19,23,42
32,"(21, 3)","(22, 3)",West,"[(22, 3), (20, 3)]","[(21, 3), (24, 1), (28, 1), (27, 4), (33, 4), (31, 6), (25, 4), (35, 4)]","[(20, 3), (24, 1), (28, 1), (27, 4), (33, 4), (31, 6), (25, 4), (35, 4)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (22, 1), (21, 3), (31, 1), (20, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 1), (25, 3), (35, 1), (29, 3), (31, 3), (23, 2), (22, 3), (27, 2), (19, 1), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2), (21, 1)]",20,22,42
33,"(20, 3)","(21, 3)",West,"[(21, 3), (19, 3)]","[(20, 3), (24, 1), (28, 1), (27, 4), (33, 4), (31, 6), (25, 4), (35, 4)]","[(19, 3), (24, 1), (28, 1), (27, 4), (33, 4), (31, 6), (25, 4), (35, 4)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (22, 1), (21, 3), (31, 1), (20, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 1), (25, 3), (35, 1), (29, 3), (31, 3), (23, 2), (20, 3), (22, 3), (27, 2), (19, 1), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2), (21, 1)]",21,21,42
