iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
58,"(17, 8)","(17, 9)",South,"[(17, 9), (17, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (17, 8)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2)]",59,55,0,55
59,"(9, 4)","(9, 3)",North,"[(9, 5), (9, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 5)]",60,35,0,35
60,"(9, 5)","(9, 4)",North,"[(9, 4), (10, 5), (8, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (10, 5), (8, 5)]",61,36,0,36
61,"(8, 5)","(9, 5)",West,"[(9, 5), (7, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (10, 5), (8, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (10, 5), (7, 5)]",62,37,0,37
62,"(7, 5)","(8, 5)",West,"[(7, 4), (8, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (10, 5), (7, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (10, 5), (7, 4)]",63,38,0,38
63,"(7, 4)","(7, 3)",North,"[(7, 5), (7, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (10, 5), (7, 4)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (10, 5)]",64,39,0,39
64,"(10, 5)","(9, 5)",East,"[(11, 5), (9, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (10, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (11, 5)]",65,37,0,37
65,"(11, 5)","(10, 5)",East,"[(11, 4), (10, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (11, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (11, 4)]",66,38,0,38
66,"(11, 4)","(11, 5)",South,"[(11, 5), (11, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (11, 4)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (11, 3)]",67,39,0,39
67,"(11, 3)","(11, 4)",South,"[(11, 4), (12, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (11, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (12, 3)]",68,40,0,40
68,"(12, 3)","(11, 3)",East,"[(13, 3), (11, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (12, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (13, 3)]",69,41,0,41
69,"(13, 3)","(12, 3)",East,"[(13, 4), (12, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (13, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (13, 4)]",70,42,0,42
70,"(13, 4)","(13, 3)",North,"[(13, 5), (13, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (13, 4)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (13, 5)]",71,43,0,43
71,"(13, 5)","(13, 4)",North,"[(13, 4)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (13, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4)]",72,44,0,44
72,"(5, 6)","(5, 5)",North,"[(5, 7), (5, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 7)]",73,25,0,25
73,"(5, 7)","(5, 6)",North,"[(5, 6), (6, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (6, 7)]",74,26,0,26
74,"(6, 7)","(5, 7)",East,"[(7, 7), (5, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (6, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (7, 7)]",75,27,0,27
75,"(7, 7)","(6, 7)",East,"[(7, 8), (8, 7), (6, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (7, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (7, 8), (8, 7)]",76,28,0,28
76,"(8, 7)","(7, 7)",East,"[(9, 7), (7, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (7, 8), (8, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (7, 8), (9, 7)]",77,29,0,29
77,"(9, 7)","(8, 7)",East,"[(8, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (7, 8), (9, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (7, 8)]",78,30,0,30
78,"(7, 8)","(7, 9)",South,"[(7, 9), (7, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (7, 8)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4)]",79,29,0,29
79,"(1, 4)","(1, 5)",South,"[(1, 5), (1, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 3)]",80,21,0,21
80,"(1, 3)","(1, 4)",South,"[(1, 4), (1, 2), (2, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 2), (2, 3)]",81,22,0,22
81,"(2, 3)","(1, 3)",East,"[(3, 3), (1, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 2), (2, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 2), (3, 3)]",82,23,0,23
82,"(3, 3)","(2, 3)",East,"[(3, 2), (2, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 2), (3, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 2), (3, 2)]",83,24,0,24
83,"(3, 2)","(3, 3)",South,"[(3, 3), (3, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 2), (3, 2)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 2), (3, 1)]",84,25,0,25
84,"(3, 1)","(3, 2)",South,"[(3, 2), (2, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 2), (3, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 2), (2, 1)]",85,26,0,26
85,"(2, 1)","(3, 1)",West,"[(3, 1), (1, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 2), (2, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 2), (1, 1)]",86,27,0,27
86,"(1, 1)","(2, 1)",West,[],"[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 2), (1, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 2)]",86,28,0,28
