iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
21,"((7, 3), 'foodLeft=12')","((8, 3), 'foodLeft=12')",West,"[((7, 4), 'foodLeft=11'), ((8, 3), 'foodLeft=12'), ((6, 3), 'foodLeft=12')]","[((7, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=12'), ((13, 5), 'foodLeft=11'), ((13, 4), 'foodLeft=11'), ((5, 3), 'foodLeft=13'), ((14, 3), 'foodLeft=13'), ((13, 4), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((6, 5), 'foodLeft=12'), ((14, 3), 'foodLeft=12')]","[((7, 4), 'foodLeft=12'), ((5, 3), 'foodLeft=13'), ((13, 5), 'foodLeft=11'), ((13, 4), 'foodLeft=11'), ((14, 3), 'foodLeft=12'), ((14, 3), 'foodLeft=13'), ((13, 4), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((6, 5), 'foodLeft=12'), ((6, 3), 'foodLeft=12')]",22,6,49,55
22,"((7, 4), 'foodLeft=12')","((7, 3), 'foodLeft=13')",North,"[((7, 5), 'foodLeft=12'), ((7, 3), 'foodLeft=12')]","[((7, 4), 'foodLeft=12'), ((5, 3), 'foodLeft=13'), ((13, 5), 'foodLeft=11'), ((13, 4), 'foodLeft=11'), ((14, 3), 'foodLeft=12'), ((14, 3), 'foodLeft=13'), ((13, 4), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((6, 5), 'foodLeft=12'), ((6, 3), 'foodLeft=12')]","[((13, 5), 'foodLeft=11'), ((5, 3), 'foodLeft=13'), ((13, 4), 'foodLeft=12'), ((13, 4), 'foodLeft=11'), ((7, 5), 'foodLeft=12'), ((14, 3), 'foodLeft=13'), ((6, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((6, 5), 'foodLeft=12'), ((14, 3), 'foodLeft=12'), ((7, 3), 'foodLeft=12')]",23,3,53,56
23,"((13, 5), 'foodLeft=11')","((12, 5), 'foodLeft=12')",East,"[((13, 4), 'foodLeft=10'), ((14, 5), 'foodLeft=10'), ((12, 5), 'foodLeft=11')]","[((13, 5), 'foodLeft=11'), ((5, 3), 'foodLeft=13'), ((13, 4), 'foodLeft=12'), ((13, 4), 'foodLeft=11'), ((7, 5), 'foodLeft=12'), ((14, 3), 'foodLeft=13'), ((6, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((6, 5), 'foodLeft=12'), ((14, 3), 'foodLeft=12'), ((7, 3), 'foodLeft=12')]","[((5, 3), 'foodLeft=13'), ((13, 4), 'foodLeft=11'), ((13, 4), 'foodLeft=12'), ((7, 3), 'foodLeft=12'), ((7, 5), 'foodLeft=12'), ((14, 5), 'foodLeft=10'), ((6, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((6, 5), 'foodLeft=12'), ((14, 3), 'foodLeft=12'), ((13, 4), 'foodLeft=10'), ((14, 3), 'foodLeft=13'), ((12, 5), 'foodLeft=11')]",24,6,50,56
24,"((5, 3), 'foodLeft=13')","((6, 3), 'foodLeft=13')",West,"[((6, 3), 'foodLeft=13'), ((4, 3), 'foodLeft=13')]","[((5, 3), 'foodLeft=13'), ((13, 4), 'foodLeft=11'), ((13, 4), 'foodLeft=12'), ((7, 3), 'foodLeft=12'), ((7, 5), 'foodLeft=12'), ((14, 5), 'foodLeft=10'), ((6, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((6, 5), 'foodLeft=12'), ((14, 3), 'foodLeft=12'), ((13, 4), 'foodLeft=10'), ((14, 3), 'foodLeft=13'), ((12, 5), 'foodLeft=11')]","[((13, 4), 'foodLeft=12'), ((13, 4), 'foodLeft=11'), ((14, 5), 'foodLeft=10'), ((7, 3), 'foodLeft=12'), ((7, 5), 'foodLeft=12'), ((4, 3), 'foodLeft=13'), ((6, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((6, 5), 'foodLeft=12'), ((14, 3), 'foodLeft=12'), ((13, 4), 'foodLeft=10'), ((12, 5), 'foodLeft=11'), ((14, 3), 'foodLeft=13')]",25,4,52,56
25,"((13, 4), 'foodLeft=12')","((13, 3), 'foodLeft=13')",North,"[((13, 5), 'foodLeft=11'), ((13, 3), 'foodLeft=12')]","[((13, 4), 'foodLeft=12'), ((13, 4), 'foodLeft=11'), ((14, 5), 'foodLeft=10'), ((7, 3), 'foodLeft=12'), ((7, 5), 'foodLeft=12'), ((4, 3), 'foodLeft=13'), ((6, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((6, 5), 'foodLeft=12'), ((14, 3), 'foodLeft=12'), ((13, 4), 'foodLeft=10'), ((12, 5), 'foodLeft=11'), ((14, 3), 'foodLeft=13')]","[((13, 4), 'foodLeft=11'), ((7, 5), 'foodLeft=12'), ((14, 5), 'foodLeft=10'), ((7, 3), 'foodLeft=12'), ((14, 3), 'foodLeft=13'), ((4, 3), 'foodLeft=13'), ((6, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((6, 5), 'foodLeft=12'), ((14, 3), 'foodLeft=12'), ((13, 4), 'foodLeft=10'), ((12, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=11'), ((13, 3), 'foodLeft=12')]",26,5,51,56
26,"((13, 4), 'foodLeft=11')","((13, 3), 'foodLeft=12')",North,"[((13, 5), 'foodLeft=10'), ((13, 3), 'foodLeft=11')]","[((13, 4), 'foodLeft=11'), ((7, 5), 'foodLeft=12'), ((14, 5), 'foodLeft=10'), ((7, 3), 'foodLeft=12'), ((14, 3), 'foodLeft=13'), ((4, 3), 'foodLeft=13'), ((6, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((6, 5), 'foodLeft=12'), ((14, 3), 'foodLeft=12'), ((13, 4), 'foodLeft=10'), ((12, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=11'), ((13, 3), 'foodLeft=12')]","[((7, 5), 'foodLeft=12'), ((7, 3), 'foodLeft=12'), ((14, 5), 'foodLeft=10'), ((6, 5), 'foodLeft=12'), ((14, 3), 'foodLeft=13'), ((4, 3), 'foodLeft=13'), ((6, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((13, 3), 'foodLeft=12'), ((14, 3), 'foodLeft=12'), ((13, 4), 'foodLeft=10'), ((12, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=10'), ((13, 3), 'foodLeft=11')]",27,7,49,56
27,"((7, 5), 'foodLeft=12')","((7, 4), 'foodLeft=12')",North,"[((7, 4), 'foodLeft=12'), ((8, 5), 'foodLeft=12'), ((6, 5), 'foodLeft=12')]","[((7, 5), 'foodLeft=12'), ((7, 3), 'foodLeft=12'), ((14, 5), 'foodLeft=10'), ((6, 5), 'foodLeft=12'), ((14, 3), 'foodLeft=13'), ((4, 3), 'foodLeft=13'), ((6, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((13, 3), 'foodLeft=12'), ((14, 3), 'foodLeft=12'), ((13, 4), 'foodLeft=10'), ((12, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=10'), ((13, 3), 'foodLeft=11')]","[((7, 3), 'foodLeft=12'), ((6, 5), 'foodLeft=12'), ((14, 5), 'foodLeft=10'), ((14, 3), 'foodLeft=13'), ((14, 3), 'foodLeft=12'), ((4, 3), 'foodLeft=13'), ((8, 5), 'foodLeft=12'), ((6, 5), 'foodLeft=12'), ((13, 3), 'foodLeft=12'), ((13, 3), 'foodLeft=11'), ((13, 4), 'foodLeft=10'), ((12, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=10'), ((6, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=11')]",28,4,52,56
28,"((7, 3), 'foodLeft=12')","((7, 4), 'foodLeft=12')",South,"[((7, 4), 'foodLeft=12'), ((8, 3), 'foodLeft=12'), ((6, 3), 'foodLeft=12')]","[((7, 3), 'foodLeft=12'), ((6, 5), 'foodLeft=12'), ((14, 5), 'foodLeft=10'), ((14, 3), 'foodLeft=13'), ((14, 3), 'foodLeft=12'), ((4, 3), 'foodLeft=13'), ((8, 5), 'foodLeft=12'), ((6, 5), 'foodLeft=12'), ((13, 3), 'foodLeft=12'), ((13, 3), 'foodLeft=11'), ((13, 4), 'foodLeft=10'), ((12, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=10'), ((6, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=11')]","[((14, 5), 'foodLeft=10'), ((6, 5), 'foodLeft=12'), ((4, 3), 'foodLeft=13'), ((8, 3), 'foodLeft=12'), ((14, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((8, 5), 'foodLeft=12'), ((6, 3), 'foodLeft=12'), ((13, 3), 'foodLeft=12'), ((13, 3), 'foodLeft=11'), ((13, 4), 'foodLeft=10'), ((12, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=10'), ((6, 3), 'foodLeft=12'), ((6, 5), 'foodLeft=12'), ((14, 3), 'foodLeft=13')]",29,4,52,56
29,"((14, 5), 'foodLeft=10')","((13, 5), 'foodLeft=11')",East,"[((13, 5), 'foodLeft=10')]","[((14, 5), 'foodLeft=10'), ((6, 5), 'foodLeft=12'), ((4, 3), 'foodLeft=13'), ((8, 3), 'foodLeft=12'), ((14, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((8, 5), 'foodLeft=12'), ((6, 3), 'foodLeft=12'), ((13, 3), 'foodLeft=12'), ((13, 3), 'foodLeft=11'), ((13, 4), 'foodLeft=10'), ((12, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=10'), ((6, 3), 'foodLeft=12'), ((6, 5), 'foodLeft=12'), ((14, 3), 'foodLeft=13')]","[((4, 3), 'foodLeft=13'), ((6, 5), 'foodLeft=12'), ((8, 5), 'foodLeft=12'), ((8, 3), 'foodLeft=12'), ((14, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((14, 3), 'foodLeft=13'), ((6, 3), 'foodLeft=12'), ((13, 3), 'foodLeft=12'), ((13, 3), 'foodLeft=11'), ((13, 4), 'foodLeft=10'), ((12, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=10'), ((6, 3), 'foodLeft=12'), ((6, 5), 'foodLeft=12'), ((13, 5), 'foodLeft=10')]",30,7,49,56
30,"((4, 3), 'foodLeft=13')","((5, 3), 'foodLeft=13')",West,"[((4, 4), 'foodLeft=12'), ((5, 3), 'foodLeft=13'), ((3, 3), 'foodLeft=13')]","[((4, 3), 'foodLeft=13'), ((6, 5), 'foodLeft=12'), ((8, 5), 'foodLeft=12'), ((8, 3), 'foodLeft=12'), ((14, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((14, 3), 'foodLeft=13'), ((6, 3), 'foodLeft=12'), ((13, 3), 'foodLeft=12'), ((13, 3), 'foodLeft=11'), ((13, 4), 'foodLeft=10'), ((12, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=10'), ((6, 3), 'foodLeft=12'), ((6, 5), 'foodLeft=12'), ((13, 5), 'foodLeft=10')]","[((8, 5), 'foodLeft=12'), ((6, 5), 'foodLeft=12'), ((13, 5), 'foodLeft=10'), ((8, 3), 'foodLeft=12'), ((14, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((14, 3), 'foodLeft=13'), ((6, 3), 'foodLeft=12'), ((13, 3), 'foodLeft=12'), ((13, 3), 'foodLeft=11'), ((13, 4), 'foodLeft=10'), ((12, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=11'), ((13, 5), 'foodLeft=10'), ((6, 3), 'foodLeft=12'), ((6, 5), 'foodLeft=12'), ((4, 4), 'foodLeft=12'), ((3, 3), 'foodLeft=13')]",31,5,51,56
