iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
44,"(14, 3)","(15, 3)",West,"[(15, 3), (13, 3)]","[(14, 3), (15, 1), (27, 4), (33, 6), (25, 4), (24, 1), (15, 4), (28, 1), (31, 6)]","[(15, 1), (13, 3), (27, 4), (33, 6), (25, 4), (24, 1), (15, 4), (28, 1), (31, 6)]",45,27,15,42
45,"(15, 1)","(15, 2)",South,"[(15, 2), (16, 1)]","[(15, 1), (13, 3), (27, 4), (33, 6), (25, 4), (24, 1), (15, 4), (28, 1), (31, 6)]","[(13, 3), (33, 6), (27, 4), (31, 6), (25, 4), (24, 1), (15, 4), (28, 1), (16, 1)]",46,28,14,42
46,"(13, 3)","(14, 3)",West,"[(13, 4), (14, 3)]","[(13, 3), (33, 6), (27, 4), (31, 6), (25, 4), (24, 1), (15, 4), (28, 1), (16, 1)]","[(33, 6), (31, 6), (27, 4), (28, 1), (25, 4), (24, 1), (15, 4), (16, 1), (13, 4)]",47,28,14,42
47,"(33, 6)","(33, 5)",North,"[(33, 7), (33, 5)]","[(33, 6), (31, 6), (27, 4), (28, 1), (25, 4), (24, 1), (15, 4), (16, 1), (13, 4)]","[(31, 6), (28, 1), (27, 4), (16, 1), (25, 4), (24, 1), (15, 4), (13, 4), (33, 7)]",48,7,37,44
48,"(31, 6)","(31, 5)",North,"[(31, 7), (31, 5)]","[(31, 6), (28, 1), (27, 4), (16, 1), (25, 4), (24, 1), (15, 4), (13, 4), (33, 7)]","[(27, 4), (28, 1), (24, 1), (16, 1), (25, 4), (33, 7), (15, 4), (13, 4), (31, 7)]",49,9,35,44
49,"(27, 4)","(27, 3)",North,"[(27, 5), (27, 3)]","[(27, 4), (28, 1), (24, 1), (16, 1), (25, 4), (33, 7), (15, 4), (13, 4), (31, 7)]","[(28, 1), (25, 4), (24, 1), (16, 1), (31, 7), (33, 7), (15, 4), (13, 4), (27, 5)]",50,15,29,44
50,"(28, 1)","(27, 1)",East,"[(29, 1), (27, 1)]","[(28, 1), (25, 4), (24, 1), (16, 1), (31, 7), (33, 7), (15, 4), (13, 4), (27, 5)]","[(25, 4), (16, 1), (24, 1), (13, 4), (31, 7), (33, 7), (15, 4), (27, 5), (29, 1)]",51,17,27,44
51,"(25, 4)","(25, 3)",North,"[(25, 5), (25, 3)]","[(25, 4), (16, 1), (24, 1), (13, 4), (31, 7), (33, 7), (15, 4), (27, 5), (29, 1)]","[(24, 1), (16, 1), (15, 4), (13, 4), (31, 7), (33, 7), (29, 1), (27, 5), (25, 5)]",52,17,27,44
52,"(24, 1)","(23, 1)",East,"[(25, 1), (23, 1)]","[(24, 1), (16, 1), (15, 4), (13, 4), (31, 7), (33, 7), (29, 1), (27, 5), (25, 5)]","[(15, 4), (16, 1), (33, 7), (13, 4), (31, 7), (25, 5), (29, 1), (27, 5), (25, 1)]",53,21,23,44
53,"(15, 4)","(15, 3)",North,"[(15, 5), (15, 3)]","[(15, 4), (16, 1), (33, 7), (13, 4), (31, 7), (25, 5), (29, 1), (27, 5), (25, 1)]","[(16, 1), (13, 4), (33, 7), (27, 5), (31, 7), (25, 5), (29, 1), (25, 1), (15, 5)]",54,27,17,44
54,"(16, 1)","(15, 1)",East,"[(17, 1), (15, 1)]","[(16, 1), (13, 4), (33, 7), (27, 5), (31, 7), (25, 5), (29, 1), (25, 1), (15, 5)]","[(13, 4), (31, 7), (33, 7), (27, 5), (15, 5), (25, 5), (29, 1), (25, 1), (17, 1)]",55,29,15,44
55,"(13, 4)","(13, 3)",North,"[(13, 5), (13, 3)]","[(13, 4), (31, 7), (33, 7), (27, 5), (15, 5), (25, 5), (29, 1), (25, 1), (17, 1)]","[(33, 7), (31, 7), (29, 1), (27, 5), (15, 5), (25, 5), (17, 1), (25, 1), (13, 5)]",56,29,15,44
56,"(33, 7)","(33, 6)",North,"[(33, 6), (34, 7)]","[(33, 7), (31, 7), (29, 1), (27, 5), (15, 5), (25, 5), (17, 1), (25, 1), (13, 5)]","[(31, 7), (27, 5), (29, 1), (25, 1), (15, 5), (25, 5), (17, 1), (13, 5), (34, 7)]",57,8,38,46
57,"(31, 7)","(31, 6)",North,"[(31, 8), (31, 6)]","[(31, 7), (27, 5), (29, 1), (25, 1), (15, 5), (25, 5), (17, 1), (13, 5), (34, 7)]","[(27, 5), (25, 1), (29, 1), (13, 5), (15, 5), (25, 5), (17, 1), (34, 7), (31, 8)]",58,10,36,46
58,"(27, 5)","(27, 4)",North,"[(27, 6), (27, 4)]","[(27, 5), (25, 1), (29, 1), (13, 5), (15, 5), (25, 5), (17, 1), (34, 7), (31, 8)]","[(29, 1), (25, 1), (25, 5), (13, 5), (15, 5), (31, 8), (17, 1), (34, 7), (27, 6)]",59,16,30,46
59,"(29, 1)","(28, 1)",East,"[(28, 1)]","[(29, 1), (25, 1), (25, 5), (13, 5), (15, 5), (31, 8), (17, 1), (34, 7), (27, 6)]","[(25, 5), (25, 1), (17, 1), (13, 5), (15, 5), (31, 8), (27, 6), (34, 7)]",60,18,28,46
60,"(25, 5)","(25, 4)",North,"[(25, 6), (25, 4), (24, 5)]","[(25, 5), (25, 1), (17, 1), (13, 5), (15, 5), (31, 8), (27, 6), (34, 7)]","[(25, 1), (15, 5), (17, 1), (13, 5), (34, 7), (31, 8), (27, 6), (25, 6), (24, 5)]",61,18,28,46
61,"(25, 1)","(24, 1)",East,"[(24, 1)]","[(25, 1), (15, 5), (17, 1), (13, 5), (34, 7), (31, 8), (27, 6), (25, 6), (24, 5)]","[(15, 5), (13, 5), (17, 1), (24, 5), (34, 7), (31, 8), (27, 6), (25, 6)]",62,22,24,46
62,"(15, 5)","(15, 4)",North,"[(15, 4), (16, 5)]","[(15, 5), (13, 5), (17, 1), (24, 5), (34, 7), (31, 8), (27, 6), (25, 6)]","[(17, 1), (13, 5), (31, 8), (24, 5), (34, 7), (25, 6), (27, 6), (16, 5)]",63,28,18,46
63,"(17, 1)","(16, 1)",East,"[(16, 1)]","[(17, 1), (13, 5), (31, 8), (24, 5), (34, 7), (25, 6), (27, 6), (16, 5)]","[(13, 5), (24, 5), (31, 8), (16, 5), (34, 7), (25, 6), (27, 6)]",64,30,16,46
64,"(13, 5)","(13, 4)",North,"[(13, 4)]","[(13, 5), (24, 5), (31, 8), (16, 5), (34, 7), (25, 6), (27, 6)]","[(24, 5), (34, 7), (31, 8), (16, 5), (27, 6), (25, 6)]",65,30,16,46
65,"(24, 5)","(25, 5)",West,"[(25, 5), (23, 5)]","[(24, 5), (34, 7), (31, 8), (16, 5), (27, 6), (25, 6)]","[(23, 5), (27, 6), (34, 7), (16, 5), (25, 6), (31, 8)]",66,19,27,46
66,"(23, 5)","(24, 5)",West,"[(24, 5)]","[(23, 5), (27, 6), (34, 7), (16, 5), (25, 6), (31, 8)]","[(34, 7), (27, 6), (31, 8), (16, 5), (25, 6)]",67,20,26,46
67,"(34, 7)","(33, 7)",East,"[(35, 7), (33, 7)]","[(34, 7), (27, 6), (31, 8), (16, 5), (25, 6)]","[(31, 8), (27, 6), (25, 6), (16, 5), (35, 7)]",68,9,39,48
68,"(31, 8)","(31, 7)",North,"[(31, 9), (31, 7)]","[(31, 8), (27, 6), (25, 6), (16, 5), (35, 7)]","[(27, 6), (16, 5), (25, 6), (35, 7), (31, 9)]",69,11,37,48
69,"(27, 6)","(27, 5)",North,"[(27, 7), (27, 5)]","[(27, 6), (16, 5), (25, 6), (35, 7), (31, 9)]","[(25, 6), (16, 5), (31, 9), (35, 7), (27, 7)]",70,17,31,48
70,"(25, 6)","(25, 5)",North,"[(25, 7), (25, 5)]","[(25, 6), (16, 5), (31, 9), (35, 7), (27, 7)]","[(16, 5), (35, 7), (31, 9), (27, 7), (25, 7)]",71,19,29,48
71,"(16, 5)","(15, 5)",East,"[(17, 5), (15, 5)]","[(16, 5), (35, 7), (31, 9), (27, 7), (25, 7)]","[(35, 7), (27, 7), (31, 9), (25, 7), (17, 5)]",72,29,19,48
72,"(35, 7)","(34, 7)",East,"[(34, 7)]","[(35, 7), (27, 7), (31, 9), (25, 7), (17, 5)]","[(31, 9), (27, 7), (17, 5), (25, 7)]",73,10,40,50
73,"(31, 9)","(31, 8)",North,"[(31, 10), (31, 8), (32, 9)]","[(31, 9), (27, 7), (17, 5), (25, 7)]","[(27, 7), (25, 7), (17, 5), (31, 10), (32, 9)]",74,12,38,50
74,"(27, 7)","(27, 6)",North,"[(27, 6), (28, 7)]","[(27, 7), (25, 7), (17, 5), (31, 10), (32, 9)]","[(25, 7), (31, 10), (17, 5), (32, 9), (28, 7)]",75,18,32,50
75,"(25, 7)","(25, 6)",North,"[(25, 6), (24, 7)]","[(25, 7), (31, 10), (17, 5), (32, 9), (28, 7)]","[(17, 5), (24, 7), (28, 7), (32, 9), (31, 10)]",76,20,30,50
76,"(17, 5)","(16, 5)",East,"[(17, 6), (18, 5), (16, 5)]","[(17, 5), (24, 7), (28, 7), (32, 9), (31, 10)]","[(24, 7), (31, 10), (28, 7), (32, 9), (17, 6), (18, 5)]",77,30,20,50
77,"(24, 7)","(25, 7)",West,"[(25, 7), (23, 7)]","[(24, 7), (31, 10), (28, 7), (32, 9), (17, 6), (18, 5)]","[(23, 7), (32, 9), (31, 10), (18, 5), (17, 6), (28, 7)]",78,21,29,50
78,"(23, 7)","(24, 7)",West,"[(23, 8), (24, 7), (22, 7)]","[(23, 7), (32, 9), (31, 10), (18, 5), (17, 6), (28, 7)]","[(22, 7), (32, 9), (31, 10), (18, 5), (17, 6), (23, 8), (28, 7)]",79,22,28,50
