iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
55,"(13, 16)","(14, 16)",West,"[(14, 16), (12, 16)]","[(22, 12), (32, 8), (13, 16)]","[(12, 16), (22, 12), (32, 8)]",56,21,0,21
56,"(32, 8)","(31, 8)",East,"[(33, 8), (31, 8)]","[(12, 16), (22, 12), (32, 8)]","[(33, 8), (12, 16), (22, 12)]",57,22,0,22
57,"(22, 12)","(23, 12)",West,"[(23, 12), (21, 12)]","[(33, 8), (12, 16), (22, 12)]","[(21, 12), (33, 8), (12, 16)]",58,22,0,22
58,"(12, 16)","(13, 16)",West,"[(13, 16), (11, 16)]","[(21, 12), (33, 8), (12, 16)]","[(11, 16), (21, 12), (33, 8)]",59,22,0,22
59,"(33, 8)","(32, 8)",East,"[(34, 8), (32, 8)]","[(11, 16), (21, 12), (33, 8)]","[(34, 8), (11, 16), (21, 12)]",60,23,0,23
60,"(21, 12)","(22, 12)",West,"[(22, 12), (20, 12)]","[(34, 8), (11, 16), (21, 12)]","[(20, 12), (34, 8), (11, 16)]",61,23,0,23
61,"(11, 16)","(12, 16)",West,"[(12, 16), (10, 16)]","[(20, 12), (34, 8), (11, 16)]","[(10, 16), (20, 12), (34, 8)]",62,23,0,23
62,"(34, 8)","(33, 8)",East,"[(34, 7), (33, 8)]","[(10, 16), (20, 12), (34, 8)]","[(34, 7), (10, 16), (20, 12)]",63,24,0,24
63,"(20, 12)","(21, 12)",West,"[(20, 11), (21, 12), (19, 12)]","[(34, 7), (10, 16), (20, 12)]","[(19, 12), (20, 11), (34, 7), (10, 16)]",64,24,0,24
64,"(10, 16)","(11, 16)",West,"[(11, 16), (9, 16)]","[(19, 12), (20, 11), (34, 7), (10, 16)]","[(9, 16), (19, 12), (20, 11), (34, 7)]",65,24,0,24
65,"(34, 7)","(34, 8)",South,"[(34, 8), (34, 6)]","[(9, 16), (19, 12), (20, 11), (34, 7)]","[(34, 6), (9, 16), (19, 12), (20, 11)]",66,25,0,25
66,"(20, 11)","(20, 12)",South,"[(20, 12), (20, 10), (19, 11)]","[(34, 6), (9, 16), (19, 12), (20, 11)]","[(19, 11), (20, 10), (34, 6), (9, 16), (19, 12)]",67,25,0,25
67,"(19, 12)","(20, 12)",West,"[(19, 11), (20, 12), (18, 12)]","[(19, 11), (20, 10), (34, 6), (9, 16), (19, 12)]","[(18, 12), (19, 11), (19, 11), (20, 10), (34, 6), (9, 16)]",68,25,0,25
68,"(9, 16)","(10, 16)",West,"[(10, 16), (8, 16)]","[(18, 12), (19, 11), (19, 11), (20, 10), (34, 6), (9, 16)]","[(8, 16), (18, 12), (19, 11), (19, 11), (20, 10), (34, 6)]",69,25,0,25
69,"(34, 6)","(34, 7)",South,"[(34, 7), (33, 6)]","[(8, 16), (18, 12), (19, 11), (19, 11), (20, 10), (34, 6)]","[(33, 6), (8, 16), (18, 12), (19, 11), (19, 11), (20, 10)]",70,26,0,26
70,"(20, 10)","(20, 11)",South,"[(20, 11), (20, 9)]","[(33, 6), (8, 16), (18, 12), (19, 11), (19, 11), (20, 10)]","[(20, 9), (33, 6), (8, 16), (18, 12), (19, 11), (19, 11)]",71,26,0,26
71,"(19, 11)","(20, 11)",West,"[(19, 12), (20, 11)]","[(20, 9), (33, 6), (8, 16), (18, 12), (19, 11), (19, 11)]","[(20, 9), (33, 6), (8, 16), (18, 12), (19, 11)]",72,26,0,26
72,"(18, 12)","(19, 12)",West,"[(19, 12), (17, 12)]","[(20, 9), (33, 6), (8, 16), (18, 12)]","[(17, 12), (20, 9), (33, 6), (8, 16)]",73,26,0,26
73,"(8, 16)","(9, 16)",West,"[(9, 16), (7, 16)]","[(17, 12), (20, 9), (33, 6), (8, 16)]","[(7, 16), (17, 12), (20, 9), (33, 6)]",74,26,0,26
74,"(33, 6)","(34, 6)",West,"[(34, 6), (32, 6)]","[(7, 16), (17, 12), (20, 9), (33, 6)]","[(32, 6), (7, 16), (17, 12), (20, 9)]",75,27,0,27
75,"(20, 9)","(20, 10)",South,"[(20, 10), (21, 9)]","[(32, 6), (7, 16), (17, 12), (20, 9)]","[(21, 9), (32, 6), (7, 16), (17, 12)]",76,27,0,27
76,"(17, 12)","(18, 12)",West,"[(17, 13), (18, 12), (16, 12)]","[(21, 9), (32, 6), (7, 16), (17, 12)]","[(16, 12), (17, 13), (21, 9), (32, 6), (7, 16)]",77,27,0,27
77,"(7, 16)","(8, 16)",West,"[(8, 16), (6, 16)]","[(16, 12), (17, 13), (21, 9), (32, 6), (7, 16)]","[(6, 16), (16, 12), (17, 13), (21, 9), (32, 6)]",78,27,0,27
78,"(32, 6)","(33, 6)",West,"[(33, 6), (31, 6)]","[(6, 16), (16, 12), (17, 13), (21, 9), (32, 6)]","[(31, 6), (6, 16), (16, 12), (17, 13), (21, 9)]",79,28,0,28
79,"(21, 9)","(20, 9)",East,"[(22, 9), (20, 9)]","[(31, 6), (6, 16), (16, 12), (17, 13), (21, 9)]","[(22, 9), (31, 6), (6, 16), (16, 12), (17, 13)]",80,28,0,28
80,"(17, 13)","(17, 12)",North,"[(17, 14), (17, 12)]","[(22, 9), (31, 6), (6, 16), (16, 12), (17, 13)]","[(17, 14), (22, 9), (31, 6), (6, 16), (16, 12)]",81,28,0,28
81,"(16, 12)","(17, 12)",West,"[(17, 12), (15, 12)]","[(17, 14), (22, 9), (31, 6), (6, 16), (16, 12)]","[(15, 12), (17, 14), (22, 9), (31, 6), (6, 16)]",82,28,0,28
82,"(6, 16)","(7, 16)",West,"[(7, 16), (5, 16)]","[(15, 12), (17, 14), (22, 9), (31, 6), (6, 16)]","[(5, 16), (15, 12), (17, 14), (22, 9), (31, 6)]",83,28,0,28
83,"(31, 6)","(32, 6)",West,"[(32, 6), (30, 6)]","[(5, 16), (15, 12), (17, 14), (22, 9), (31, 6)]","[(30, 6), (5, 16), (15, 12), (17, 14), (22, 9)]",84,29,0,29
84,"(22, 9)","(21, 9)",East,"[(23, 9), (21, 9)]","[(30, 6), (5, 16), (15, 12), (17, 14), (22, 9)]","[(23, 9), (30, 6), (5, 16), (15, 12), (17, 14)]",85,29,0,29
85,"(17, 14)","(17, 13)",North,"[(17, 13), (16, 14)]","[(23, 9), (30, 6), (5, 16), (15, 12), (17, 14)]","[(16, 14), (23, 9), (30, 6), (5, 16), (15, 12)]",86,29,0,29
86,"(15, 12)","(16, 12)",West,"[(16, 12), (14, 12)]","[(16, 14), (23, 9), (30, 6), (5, 16), (15, 12)]","[(14, 12), (16, 14), (23, 9), (30, 6), (5, 16)]",87,29,0,29
87,"(5, 16)","(6, 16)",West,"[(6, 16), (4, 16)]","[(14, 12), (16, 14), (23, 9), (30, 6), (5, 16)]","[(4, 16), (14, 12), (16, 14), (23, 9), (30, 6)]",88,29,0,29
88,"(30, 6)","(31, 6)",West,"[(30, 5), (31, 6), (29, 6)]","[(4, 16), (14, 12), (16, 14), (23, 9), (30, 6)]","[(29, 6), (30, 5), (4, 16), (14, 12), (16, 14), (23, 9)]",89,30,0,30
89,"(23, 9)","(22, 9)",East,"[(24, 9), (22, 9)]","[(29, 6), (30, 5), (4, 16), (14, 12), (16, 14), (23, 9)]","[(24, 9), (29, 6), (30, 5), (4, 16), (14, 12), (16, 14)]",90,30,0,30
90,"(16, 14)","(17, 14)",West,"[(17, 14), (15, 14)]","[(24, 9), (29, 6), (30, 5), (4, 16), (14, 12), (16, 14)]","[(15, 14), (24, 9), (29, 6), (30, 5), (4, 16), (14, 12)]",91,30,0,30
91,"(14, 12)","(15, 12)",West,"[(14, 11), (15, 12), (13, 12)]","[(15, 14), (24, 9), (29, 6), (30, 5), (4, 16), (14, 12)]","[(13, 12), (14, 11), (15, 14), (24, 9), (29, 6), (30, 5), (4, 16)]",92,30,0,30
92,"(4, 16)","(5, 16)",West,"[(5, 16), (3, 16)]","[(13, 12), (14, 11), (15, 14), (24, 9), (29, 6), (30, 5), (4, 16)]","[(3, 16), (13, 12), (14, 11), (15, 14), (24, 9), (29, 6), (30, 5)]",93,30,0,30
93,"(30, 5)","(30, 6)",South,"[(30, 6), (30, 4)]","[(3, 16), (13, 12), (14, 11), (15, 14), (24, 9), (29, 6), (30, 5)]","[(30, 4), (3, 16), (13, 12), (14, 11), (15, 14), (24, 9), (29, 6)]",94,31,0,31
94,"(29, 6)","(30, 6)",West,"[(30, 6)]","[(30, 4), (3, 16), (13, 12), (14, 11), (15, 14), (24, 9), (29, 6)]","[(30, 4), (3, 16), (13, 12), (14, 11), (15, 14), (24, 9)]",95,31,0,31
95,"(24, 9)","(23, 9)",East,"[(25, 9), (23, 9)]","[(30, 4), (3, 16), (13, 12), (14, 11), (15, 14), (24, 9)]","[(25, 9), (30, 4), (3, 16), (13, 12), (14, 11), (15, 14)]",96,31,0,31
96,"(15, 14)","(16, 14)",West,"[(16, 14), (14, 14)]","[(25, 9), (30, 4), (3, 16), (13, 12), (14, 11), (15, 14)]","[(14, 14), (25, 9), (30, 4), (3, 16), (13, 12), (14, 11)]",97,31,0,31
97,"(14, 11)","(14, 12)",South,"[(14, 12), (14, 10)]","[(14, 14), (25, 9), (30, 4), (3, 16), (13, 12), (14, 11)]","[(14, 10), (14, 14), (25, 9), (30, 4), (3, 16), (13, 12)]",98,31,0,31
98,"(13, 12)","(14, 12)",West,"[(14, 12), (12, 12)]","[(14, 10), (14, 14), (25, 9), (30, 4), (3, 16), (13, 12)]","[(12, 12), (14, 10), (14, 14), (25, 9), (30, 4), (3, 16)]",99,31,0,31
99,"(3, 16)","(4, 16)",West,"[(4, 16), (2, 16)]","[(12, 12), (14, 10), (14, 14), (25, 9), (30, 4), (3, 16)]","[(2, 16), (12, 12), (14, 10), (14, 14), (25, 9), (30, 4)]",100,31,0,31
100,"(30, 4)","(30, 5)",South,"[(30, 5), (30, 3), (31, 4)]","[(2, 16), (12, 12), (14, 10), (14, 14), (25, 9), (30, 4)]","[(31, 4), (30, 3), (2, 16), (12, 12), (14, 10), (14, 14), (25, 9)]",101,32,0,32
101,"(25, 9)","(24, 9)",East,"[(26, 9), (24, 9)]","[(31, 4), (30, 3), (2, 16), (12, 12), (14, 10), (14, 14), (25, 9)]","[(26, 9), (31, 4), (30, 3), (2, 16), (12, 12), (14, 10), (14, 14)]",102,32,0,32
